,RK,Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,Year*
1448,180,Andrew PinnockSD,RB,1,9,26,2.9,11,0,0,26.0,1,0,2,2004
1449,180,Matt SchaubATL,QB,6,8,26,3.3,11,0,0,4.3,0,0,2,2004
1450,180,Ian SmartTB,RB,4,2,26,13.0,25,1,0,6.5,0,0,1,2004
1451,184,Hines WardPIT,WR,16,7,25,3.6,16,0,1,1.6,0,0,3,2004
1452,184,Luke McCownCLE,QB,5,6,25,4.2,11,0,0,5.0,2,0,2,2004
1453,184,Adimchinobe EchemanduCLE,RB,4,8,25,3.1,6,0,0,6.3,1,1,2,2004
1454,187,Nicolas LucheyGB,RB,16,10,24,2.4,4,0,0,1.5,0,0,4,2004
1455,187,Kevin CurtisSTL,WR,15,3,24,8.0,15,0,0,1.6,0,0,2,2004
1456,189,Brad JohnsonTB,QB,4,5,23,4.6,7,0,0,5.8,0,0,1,2004
1457,189,Quincy MorganCLE/DAL,WR,15,2,23,11.5,24,1,0,1.5,0,0,1,2004
1458,189,Brian MoormanBUF,P,16,2,23,11.5,34,1,0,1.4,1,0,1,2004
1459,189,Tim CarterNYG,WR,5,2,23,11.5,15,0,0,4.6,0,0,1,2004
1460,189,B.J. AskewNYJ,FB,16,6,23,3.8,14,0,0,1.4,0,0,1,2004
1461,194,Quincy CarterNYJ,QB,7,12,20,1.7,9,0,0,2.9,1,0,2,2004
1462,194,Heath EvansSEA,FB,15,7,20,2.9,7,0,0,1.3,1,0,3,2004
1463,196,Joey GallowayTB,WR,10,2,19,9.5,14,0,0,1.9,0,0,1,2004
1464,196,Eric MouldsBUF,WR,16,5,19,3.8,12,0,0,1.2,0,0,1,2004
1465,196,Dennis NorthcuttCLE,WR,16,8,19,2.4,8,0,0,1.2,0,0,1,2004
1466,196,Patrick RamseyWSH,QB,9,10,19,1.9,17,0,0,2.1,1,0,1,2004
1467,196,Adrian PetersonCHI,RB,14,6,19,3.2,13,0,0,1.4,0,0,1,2004
1468,196,James MungroIND,RB,15,5,19,3.8,8,0,0,1.3,0,0,1,2004
1469,196,B.J. SamsBAL,RB,16,4,19,4.8,8,0,1,1.2,0,0,2,2004
1470,203,Stanley PritchettATL,RB,14,6,18,3.0,8,0,0,1.3,0,0,1,2004
1471,203,Rob KonradMIA,FB,10,2,18,9.0,15,0,0,1.8,0,0,1,2004
1472,203,Dan KreiderPIT,FB,16,4,18,4.5,6,0,0,1.1,0,0,1,2004
1473,203,Santana MossNYJ,WR,15,6,18,3.0,12,0,0,1.2,1,0,2,2004
1474,203,Mike McMahonDET,QB,1,2,18,9.0,14,0,0,18.0,0,0,0,2004
1475,208,Ki-Jana CarterNO,RB,2,10,17,1.7,8,0,0,8.5,0,0,2,2004
1476,208,Brandon BennettCAR,RB,8,6,17,2.8,11,0,1,2.1,0,0,2,2004
1477,208,Brian GrieseTB,QB,11,30,17,0.6,7,0,0,1.5,3,1,1,2004
1478,211,Greg LewisPHI,WR,16,4,16,4.0,11,0,0,1.0,0,0,1,2004
1479,212,Tommy MaddoxPIT,QB,4,9,15,1.7,10,0,0,3.8,1,0,2,2004
1480,212,Doug PedersonGB,QB,4,2,15,7.5,9,0,0,3.8,0,0,1,2004
1481,212,Muhsin MuhammadCAR,WR,16,3,15,5.0,13,0,0,0.9,1,1,1,2004
1482,212,Eddie KennisonKC,WR,14,2,15,7.5,15,0,0,1.1,0,0,1,2004
1483,212,Fred BeasleySF,RB,14,9,15,1.7,4,0,0,1.1,0,0,4,2004
1484,212,Cliff RussellCIN,WR,13,3,15,5.0,13,0,0,1.2,0,0,2,2004
1485,212,Kerry CarterSEA,RB,16,4,15,3.8,6,0,0,0.9,0,0,2,2004
1486,212,J.P. LosmanBUF,QB,4,2,15,7.5,10,0,0,3.8,0,0,1,2004
1487,220,Trent DilferSEA,QB,5,10,14,1.4,11,0,0,2.8,1,0,1,2004
1488,220,Peter WarrickCIN,WR,4,2,14,7.0,8,0,0,3.5,0,0,0,2004
1489,220,Dez WhiteATL,WR,16,3,14,4.7,26,1,0,0.9,0,0,1,2004
1490,220,Chad HutchinsonCHI,QB,5,6,14,2.3,11,0,0,2.8,4,1,1,2004
1491,220,Chris SimmsTB,QB,5,7,14,2.0,12,0,0,2.8,1,0,1,2004
1492,220,Larry FitzgeraldARI,WR,16,8,14,1.8,10,0,0,0.9,0,0,3,2004
1493,226,Keyshawn JohnsonDAL,WR,16,2,13,6.5,13,0,0,0.8,0,0,1,2004
1494,226,Rabih AbdullahNE,RB,9,13,13,1.0,5,0,1,1.4,0,0,3,2004
1495,226,A.J. FeeleyMIA,QB,11,14,13,0.9,7,0,1,1.2,3,1,2,2004
1496,226,Randal WilliamsDAL,TE,2,1,13,13.0,13,0,0,6.5,0,0,1,2004
1497,230,George LayneATL/SD,RB,2,1,12,12.0,12,0,0,6.0,0,0,1,2004
1498,230,Drew BennettTEN,WR,16,1,12,12.0,12,0,0,0.8,0,0,1,2004
1499,230,Andre JohnsonHOU,WR,16,4,12,3.0,14,0,0,0.8,0,0,2,2004
1500,230,Chris HornKC,WR,14,1,12,12.0,12,0,0,0.9,0,0,1,2004
1501,234,Dedric WardDAL,WR,8,1,11,11.0,11,0,0,1.4,0,0,1,2004
1502,234,Jonathan SmithBUF,WR,9,2,11,5.5,8,0,0,1.2,0,0,1,2004
1503,234,Kyle LarsonCIN,P,16,1,11,11.0,11,0,1,0.7,0,0,1,2004
1504,237,David TerrellCHI,WR,16,3,10,3.3,20,1,0,0.6,1,1,1,2004
1505,237,Darian BarnesDAL,RB,16,5,10,2.0,8,0,0,0.6,1,0,2,2004
1506,237,Jason WrightATL,RB,2,3,10,3.3,8,0,0,5.0,0,0,0,2004
1507,240,Ricky ProehlCAR,WR,16,1,9,9.0,9,0,0,0.6,0,0,0,2004
1508,240,Terrelle SmithCLE,FB,16,4,9,2.3,4,0,0,0.6,0,0,3,2004
1509,240,Eddie DrummondDET,WR,11,1,9,9.0,9,0,0,0.8,0,0,0,2004
1510,240,Vick KingMIA,RB,2,4,9,2.3,3,0,0,4.5,0,0,1,2004
1511,244,Craig HentrichTEN,P,16,1,8,8.0,8,0,0,0.5,0,0,1,2004
1512,244,Bethel JohnsonNE,WR,13,2,8,4.0,11,0,0,0.6,0,0,1,2004
1513,246,Cory SchlesingerDET,RB,13,4,7,1.8,2,0,0,0.5,0,0,1,2004
1514,246,Jim FinnNYG,FB,16,3,7,2.3,5,0,0,0.4,0,0,0,2004
1515,246,Rod GardnerWSH,WR,16,3,7,2.3,11,0,0,0.4,0,0,2,2004
1516,246,Craig NallGB,QB,5,3,7,2.3,9,0,0,1.4,0,0,0,2004
1517,246,Doug GabrielOAK,WR,16,2,7,3.5,4,0,0,0.4,0,0,0,2004
1518,246,Drew HensonDAL,QB,7,1,7,7.0,7,0,0,1.0,0,0,1,2004
1519,246,Ken DorseySF,QB,8,5,7,1.4,3,0,0,0.9,1,0,1,2004
1520,246,Mike KarneyNO,FB,16,3,7,2.3,4,0,0,0.4,0,0,1,2004
1521,254,Jeff BlakePHI,QB,3,3,6,2.0,8,0,0,2.0,0,0,0,2004
1522,254,Karl WilliamsARI,WR,15,2,6,3.0,3,0,0,0.4,1,1,1,2004
1523,254,Cedrick WilsonSF,WR,15,1,6,6.0,6,0,0,0.4,0,0,1,2004
1524,254,Joey GoodspeedSTL,RB,16,3,6,2.0,2,0,1,0.4,0,0,2,2004
1525,258,Tony GonzalezKC,TE,16,1,5,5.0,5,0,0,0.3,0,0,0,2004
1526,258,David PattenNE,WR,16,1,5,5.0,5,0,0,0.3,0,0,0,2004
1527,258,Chad StanleyHOU,P,16,1,5,5.0,5,0,0,0.3,0,0,1,2004
1528,258,Ashley LelieDEN,WR,16,3,5,1.7,8,0,0,0.3,0,0,0,2004
1529,258,Jeremi JohnsonCIN,FB,16,3,5,1.7,4,0,0,0.3,1,1,0,2004
1530,258,Arnaz BattleSF,WR,14,2,5,2.5,7,0,0,0.4,0,0,0,2004
1531,258,Cody PickettSF,QB,1,1,5,5.0,5,0,0,5.0,0,0,0,2004
1532,265,Todd CollinsKC,QB,2,1,4,4.0,4,0,0,2.0,0,0,0,2004
1533,265,Chris HetheringtonOAK,FB,5,1,4,4.0,4,0,0,0.8,0,0,0,2004
1534,265,Donald DriverGB,WR,16,3,4,1.3,14,0,0,0.3,1,1,0,2004
1535,265,Rod SmartCAR,RB,3,3,4,1.3,3,0,0,1.3,0,0,0,2004
1536,265,Kelly CampbellMIN,WR,16,3,4,1.3,16,0,0,0.3,1,1,1,2004
1537,265,Brian RussellMIN,S,16,1,4,4.0,4,0,0,0.3,0,0,0,2004
1538,265,Frisman JacksonCLE,WR,10,1,4,4.0,4,0,0,0.4,0,0,1,2004
1539,272,Keenan McCardellSD,WR,7,1,3,3.0,3,0,0,0.4,0,0,0,2004
1540,272,Matt TurkMIA,P,16,1,3,3.0,3,0,0,0.2,0,0,0,2004
1541,272,Koren RobinsonSEA,WR,10,1,3,3.0,3,0,0,0.3,0,0,0,2004
1542,272,Reggie SwintonDET,WR,13,1,3,3.0,3,0,0,0.2,0,0,0,2004
1543,272,Anquan BoldinARI,WR,10,1,3,3.0,3,0,0,0.3,0,0,0,2004
1544,277,Chris ChandlerSTL,QB,5,1,2,2.0,2,0,0,0.4,0,0,0,2004
1545,277,Troy EdwardsJAX,WR,16,2,2,1.0,2,0,0,0.1,1,0,0,2004
1546,277,Hunter SmithIND,P,16,1,2,2.0,2,0,0,0.1,0,0,0,2004
1547,277,Damien AndersonARI,RB,4,1,2,2.0,2,0,0,0.5,0,0,0,2004
1548,277,Brooks BollingerNYJ,QB,1,1,2,2.0,2,0,0,2.0,0,0,0,2004
1549,277,Dante BrownPIT/BUF,RB,1,1,2,2.0,2,0,0,2.0,0,0,1,2004
1550,277,Michael JenkinsATL,WR,16,1,2,2.0,2,0,0,0.1,0,0,0,2004
1551,284,Jason SimmonsHOU,DB,10,1,1,1.0,1,0,0,0.1,0,0,1,2004
1552,284,Bobby ShawBUF/SD,WR,11,1,1,1.0,1,0,0,0.1,0,0,0,2004
1553,284,Omar EasyKC,RB,15,4,1,0.3,4,0,0,0.1,0,0,0,2004
1554,284,Jarrod BaxterHOU,RB,8,2,1,0.5,1,0,0,0.1,0,0,0,2004
1555,284,Jason McKieCHI,FB,15,1,1,1.0,1,0,0,0.1,0,0,0,2004
1556,284,Derrick FrostCLE,P,16,1,1,1.0,1,0,0,0.1,0,0,0,2004
1557,284,Roy WilliamsDET,WR,14,1,1,1.0,1,0,0,0.1,0,0,0,2004
1558,284,Chris PerryCIN,RB,2,2,1,0.5,1,0,0,0.5,0,0,0,2004
1559,292,Larry IzzoNE,LB,16,1,0,0.0,0,0,0,0.0,0,0,0,2004
1560,292,Az-Zahir HakimDET,WR,12,1,0,0.0,0,0,0,0.0,0,0,0,2004
1561,292,Allen RossumATL,CB,16,1,0,0.0,0,0,0,0.0,0,0,0,2004
1562,292,Kevin JohnsonBAL,WR,16,1,0,0.0,0,0,0,0.0,0,0,0,2004
1563,292,Moran NorrisHOU,RB,12,1,0,0.0,0,0,0,0.0,0,0,0,2004
1564,292,Jasen IsomSF,RB,5,1,0,0.0,0,0,0,0.0,0,0,0,2004
1565,292,Rock CartwrightWSH,RB,13,2,0,0.0,2,0,0,0.0,0,0,0,2004
1566,292,Shaun McDonaldSTL,WR,16,4,0,0.0,7,0,0,0.0,0,0,0,2004
1567,292,Steve CheekKC,P,12,1,0,0.0,0,0,0,0.0,1,1,0,2004
1568,301,Rodney PeeteCAR,QB,1,1,-1,-1.0,-1,0,0,-1.0,0,0,0,2004
1569,301,Kordell StewartBAL,QB,2,1,-1,-1.0,-1,0,0,-0.5,0,0,0,2004
1570,301,Josh ReedBUF,WR,12,2,-1,-0.5,6,0,0,-0.1,0,0,0,2004
1571,301,Rohan DaveyNE,QB,4,4,-1,-0.3,3,0,0,-0.3,0,0,0,2004
1572,301,Kelley WashingtonCIN,WR,16,1,-1,-1.0,-1,0,0,-0.1,0,0,0,2004
1573,301,Terrance CopperDAL,WR,10,1,-1,-1.0,-1,0,0,-0.1,0,0,0,2004
1574,307,Kelly HolcombCLE,QB,4,3,-2,-0.7,0,0,0,-0.5,1,0,0,2004
1575,307,Cameron CleelandSTL,TE,16,1,-2,-2.0,-2,0,0,-0.1,0,0,0,2004
1576,307,Doug JohnsonTEN,QB,2,2,-2,-1.0,-1,0,0,-1.0,0,0,0,2004
1577,307,J.T. O'SullivanNO/GB,QB,1,2,-2,-1.0,-1,0,0,-2.0,0,0,0,2004
1578,311,Shane MatthewsBUF,QB,3,2,-3,-1.5,-1,0,0,-1.0,0,0,0,2004
1579,311,Terry GlennDAL,WR,6,1,-3,-3.0,-3,0,0,-0.5,0,0,0,2004
1580,311,Derrick MasonTEN,WR,16,1,-3,-3.0,-3,0,0,-0.2,0,0,0,2004
1581,311,Laveranues ColesWSH,WR,16,3,-3,-1.0,7,0,0,-0.2,0,0,2,2004
1582,311,Andre DavisCLE,WR,7,1,-3,-3.0,-3,0,0,-0.4,0,0,0,2004
1583,311,Ronald CurryOAK,WR,12,1,-3,-3.0,-3,0,0,-0.3,0,0,0,2004
1584,311,Brian St. PierrePIT,QB,1,4,-3,-0.8,2,0,0,-3.0,0,0,1,2004
1585,318,Jerry PorterOAK,WR,16,1,-4,-4.0,-4,0,0,-0.3,0,0,0,2004
1586,318,Reggie WayneIND,WR,16,1,-4,-4.0,-4,0,0,-0.3,0,0,0,2004
1587,318,Willie PonderNYG,WR,11,1,-4,-4.0,-4,0,0,-0.4,0,0,0,2004
1588,321,Jeff WilkinsSTL,PK,16,1,-5,-5.0,-5,0,0,-0.3,0,0,0,2004
1589,321,Terrell OwensPHI,WR,14,3,-5,-1.7,6,0,0,-0.4,0,0,0,2004
1590,321,Justin McCareinsNYJ,WR,16,2,-5,-2.5,-2,0,0,-0.3,0,0,0,2004
1591,321,Philip RiversSD,QB,2,4,-5,-1.3,-1,0,0,-2.5,0,0,0,2004
1592,321,Jim SorgiIND,QB,4,8,-5,-0.6,2,0,0,-1.3,1,0,0,2004
1593,326,Bryant JohnsonARI,WR,16,2,-6,-3.0,1,0,0,-0.4,0,0,0,2004
1594,326,Taylor JacobsWSH,WR,15,1,-6,-6.0,-6,0,0,-0.4,0,0,0,2004
1595,326,Jabari GreerBUF,CB,12,1,-6,-6.0,-6,0,0,-0.5,0,0,0,2004
1596,329,Koy DetmerPHI,QB,16,10,-7,-0.7,2,0,0,-0.4,0,0,0,2004
1597,329,Nick HarrisDET,P,16,1,-7,-7.0,-7,0,0,-0.4,0,0,0,2004
1598,331,Marty BookerMIA,WR,15,1,-8,-8.0,-8,0,0,-0.5,0,0,0,2004
1599,331,Jamaar TaylorNYG,WR,8,1,-8,-8.0,-8,0,0,-1.0,0,0,0,2004
1600,333,Deion SandersBAL,CB,9,1,-10,-10.0,-10,0,0,-1.1,0,0,0,2004
1601,1,Shaun AlexanderSEA,RB,16,370,1880,5.1,88,14,27,117.5,5,1,107,2005
1602,2,Tiki BarberNYG,RB,16,357,1860,5.2,95,16,9,116.3,1,1,72,2005
1603,3,Larry JohnsonKC,RB,16,336,1750,5.2,49,15,20,109.4,5,4,97,2005
1604,4,Clinton PortisWSH,RB,16,352,1516,4.3,47,6,11,94.8,3,2,74,2005
1605,5,Edgerrin JamesIND,RB,15,360,1506,4.2,33,5,13,100.4,2,1,94,2005
1606,6,LaDainian TomlinsonSD,RB,16,339,1462,4.3,62,8,18,91.4,2,0,71,2005
1607,7,Rudi JohnsonCIN,RB,16,337,1458,4.3,33,5,12,91.1,1,0,79,2005
1608,8,Warrick DunnATL,RB,16,280,1416,5.1,65,11,3,88.5,1,0,65,2005
1609,9,Thomas JonesCHI,RB,15,314,1335,4.3,42,12,9,89.0,2,2,61,2005
1610,10,Willis McGaheeBUF,RB,16,325,1247,3.8,27,4,5,77.9,1,1,71,2005
1611,11,Reuben DroughnsCLE,RB,16,309,1232,4.0,75,7,2,77.0,6,1,60,2005
1612,12,Willie ParkerPIT,RB,15,255,1202,4.7,80,8,4,80.1,4,0,46,2005
1613,13,Cadillac WilliamsTB,RB,14,290,1178,4.1,71,7,6,84.1,3,2,54,2005
1614,14,Steven JacksonSTL,RB,15,254,1046,4.1,51,6,8,69.7,3,3,50,2005
1615,15,LaMont JordanOAK,RB,14,272,1025,3.8,26,4,9,73.2,2,1,61,2005
1616,16,Mike AndersonDEN,RB,15,239,1014,4.2,44,4,12,67.6,1,1,62,2005
1617,17,Julius JonesDAL,RB,13,257,993,3.9,51,4,5,76.4,4,2,47,2005
1618,18,Domanick WilliamsHOU,RB,11,230,976,4.2,44,3,2,88.7,1,1,39,2005
1619,19,Tatum BellDEN,RB,15,173,921,5.3,68,10,8,61.4,3,1,41,2005
1620,20,Ronnie BrownMIA,RB,15,207,907,4.4,65,5,4,60.5,3,3,41,2005
1621,21,Jamal LewisBAL,RB,15,269,906,3.4,25,3,3,60.4,5,5,48,2005
1622,22,DeShaun FosterCAR,RB,15,205,879,4.3,70,3,2,58.6,1,0,34,2005
1623,23,Chris BrownTEN,RB,15,224,851,3.8,38,5,5,56.7,3,2,37,2005
1624,24,Fred TaylorJAX,RB,11,194,787,4.1,71,1,3,71.5,0,0,26,2005
1625,25,Ricky WilliamsMIA,RB,12,168,743,4.4,35,4,6,61.9,1,1,37,2005
1626,26,Curtis MartinNYJ,RB,12,220,735,3.3,49,4,5,61.3,2,1,35,2005
1627,27,Corey DillonNE,RB,12,209,733,3.5,29,2,12,61.1,1,1,49,2005
1628,28,Kevin JonesDET,RB,13,186,664,3.6,40,3,5,51.1,2,0,25,2005
1629,29,Mewelde MooreMIN,RB,16,155,662,4.3,33,5,1,41.4,1,1,32,2005
1630,30,Antowain SmithNO,RB,16,166,659,4.0,42,4,3,41.2,2,2,23,2005
1631,31,Brian WestbrookPHI,RB,12,156,617,4.0,31,5,3,51.4,0,0,27,2005
1632,32,Frank GoreSF,RB,14,127,608,4.8,72,4,3,43.4,1,1,26,2005
1633,33,Mike VickATL,QB,15,102,597,5.9,32,5,6,39.8,5,2,41,2005
1634,34,Samkon GadoGB,RB,8,143,582,4.1,64,3,6,72.8,3,0,29,2005
1635,35,Kevan BarlowSF,RB,12,176,581,3.3,29,4,3,48.4,1,1,20,2005
1636,36,Greg JonesJAX,RB,14,151,575,3.8,27,5,4,41.1,0,0,32,2005
1637,37,Stephen DavisCAR,RB,13,180,549,3.0,39,2,12,42.2,2,0,31,2005
1638,38,Marion BarberDAL,RB,13,138,538,3.9,28,3,5,41.4,3,0,28,2005
1639,39,Chester TaylorBAL,RB,15,117,487,4.2,52,2,0,32.5,1,1,29,2005
1640,40,Michael BennettMIN,RB,16,126,473,3.8,61,3,3,29.6,4,3,21,2005
1641,41,Priest HolmesKC,RB,7,119,451,3.8,35,3,6,64.4,1,0,29,2005
1642,41,Marcel ShippARI,RB,15,157,451,2.9,19,0,0,30.1,4,3,23,2005
1643,43,Michael PittmanTB,RB,16,70,436,6.2,64,5,1,27.3,0,0,10,2005
1644,44,Adrian PetersonCHI,RB,16,76,391,5.1,36,3,2,24.4,0,0,21,2005
1645,45,T.J. DuckettATL,RB,14,121,380,3.1,25,1,8,27.1,2,2,24,2005
1646,46,J.J. ArringtonARI,RB,15,112,370,3.3,32,2,2,24.7,1,1,16,2005
1647,47,Jerome BettisPIT,RB,12,110,368,3.3,39,1,9,30.7,0,0,30,2005
1648,48,Aaron SteckerNO,RB,15,95,363,3.8,32,1,0,24.2,1,1,22,2005
1649,49,Artose PinnerDET,RB,16,106,349,3.3,19,0,3,21.8,0,0,21,2005
1650,50,Ladell BettsWSH,RB,12,89,338,3.8,22,1,1,28.2,2,2,17,2005
1651,51,Deuce McAllisterNO,RB,5,93,335,3.6,26,1,3,67.0,0,0,21,2005
1652,51,Travis HenryTEN,RB,10,88,335,3.8,29,2,0,33.5,2,1,11,2005
1653,51,Michael TurnerSD,RB,16,57,335,5.9,83,1,3,20.9,0,0,11,2005
1654,54,Jonathan WellsHOU,RB,15,90,325,3.6,14,0,4,21.7,0,0,20,2005
1655,55,David CarrHOU,QB,16,56,308,5.5,20,1,1,19.3,3,0,20,2005
1656,55,Maurice HicksSF,RB,14,59,308,5.2,73,3,3,22.0,0,0,13,2005
1657,57,Shawn BrysonDET,RB,16,64,306,4.8,77,1,1,19.1,0,0,12,2005
1658,58,Cedric HoustonNYJ,RB,12,81,302,3.7,17,0,2,25.2,0,0,15,2005
1659,59,Marshall FaulkSTL,RB,16,65,292,4.5,20,1,0,18.3,2,1,15,2005
1660,60,Maurice MorrisSEA,RB,16,71,288,4.1,49,1,1,18.0,0,0,17,2005
1661,61,Aaron BrooksNO,QB,13,45,281,6.2,22,4,2,21.6,2,1,19,2005
1662,62,Chris PerryCIN,RB,14,61,279,4.6,30,2,0,19.9,0,0,15,2005
1663,63,Ryan MoatsPHI,RB,7,55,278,5.1,59,3,3,39.7,3,1,12,2005
1664,64,Verron HaynesPIT,FB,14,74,274,3.7,20,1,3,19.6,2,1,16,2005
1665,65,Cedric BensonCHI,RB,9,67,272,4.1,36,3,0,30.2,1,1,12,2005
1666,66,Ron DayneDEN,RB,10,53,270,5.1,55,1,1,27.0,0,0,14,2005
1667,67,Ahman GreenGB,RB,5,77,255,3.3,13,0,0,51.0,1,0,11,2005
1668,68,Patrick PassNE,FB,12,54,245,4.5,31,1,3,20.4,2,1,12,2005
1669,69,Zack CrockettOAK,RB,16,60,208,3.5,24,1,1,13.0,0,0,12,2005
1670,70,Rock CartwrightWSH,RB,16,27,199,7.4,52,2,2,12.4,1,1,10,2005
1671,71,Heath EvansMIA/NE,FB,12,52,192,3.7,21,2,0,16.0,0,0,11,2005
1672,72,Vernand MorencyHOU,RB,12,46,184,4.0,25,1,2,15.3,0,0,7,2005
1673,73,Lamar GordonPHI,RB,14,54,182,3.4,11,0,1,13.0,2,1,11,2005
1674,73,Tyson ThompsonDAL,RB,15,46,182,4.0,16,0,0,12.1,0,0,9,2005
1675,75,Tony FisherGB,RB,14,60,173,2.9,17,0,1,12.4,0,0,9,2005
1676,76,David GarrardJAX,QB,7,31,172,5.5,28,3,3,24.6,1,1,14,2005
1677,77,Shaud WilliamsBUF,RB,16,45,161,3.6,28,2,0,10.1,0,0,7,2005
1678,78,J.P. LosmanBUF,QB,9,31,154,5.0,30,1,0,17.1,1,1,10,2005
1679,79,Jake PlummerDEN,QB,16,46,151,3.3,22,1,2,9.4,2,1,13,2005
1680,80,Alvin PearmanJAX,RB,16,39,149,3.8,45,1,1,9.3,0,0,6,2005
1681,81,Duce StaleyPIT,RB,5,38,148,3.9,17,0,1,29.6,1,0,9,2005
1682,82,Daunte CulpepperMIN,QB,7,24,147,6.1,18,0,1,21.0,1,0,11,2005
1683,83,Kevin FaulkNE,RB,8,51,145,2.8,13,0,0,18.1,1,1,5,2005
1684,84,LaBrandon ToefieldJAX,RB,9,36,142,3.9,32,1,4,15.8,0,0,7,2005
1685,85,Steve McNairTEN,QB,14,32,139,4.3,19,0,1,9.9,1,0,12,2005
1686,85,Josh McCownARI,QB,9,29,139,4.8,12,0,0,15.4,2,1,7,2005
1687,87,Brooks BollingerNYJ,QB,11,35,135,3.9,15,0,0,12.3,1,0,13,2005
1688,88,Nick GoingsCAR,RB,16,37,133,3.6,17,0,0,8.3,0,0,6,2005
1689,89,Matt HasselbeckSEA,QB,16,36,124,3.4,23,1,1,7.8,0,0,8,2005
1690,90,Derrick WardNYG,RB,14,35,123,3.5,12,0,0,8.8,0,0,7,2005
1691,90,Noah HerronPIT/GB,RB,7,48,123,2.6,17,0,2,17.6,0,0,9,2005
1692,92,Mike McMahonPHI,QB,9,34,118,3.5,19,0,3,13.1,4,1,9,2005
1693,92,Dominic RhodesIND,RB,13,40,118,3.0,24,1,4,9.1,0,0,11,2005
1694,94,Mark BrunellWSH,QB,16,42,111,2.6,25,1,0,6.9,4,2,12,2005
1695,95,Najeh DavenportGB,RB,5,30,105,3.5,24,1,2,21.0,1,0,9,2005
1696,95,Jarrett PaytonTEN,RB,13,33,105,3.2,15,0,2,8.1,0,0,7,2005
1697,97,Alex SmithSF,QB,9,30,103,3.4,19,0,0,11.4,2,1,3,2005
1698,98,Brandon JacobsNYG,RB,16,38,99,2.6,21,1,7,6.2,1,1,19,2005
1699,99,Lorenzo NealSD,FB,16,29,98,3.4,9,0,0,6.1,0,0,19,2005
1700,100,Anthony ThomasDAL/NO,RB,9,43,92,2.1,12,0,0,10.2,0,0,5,2005
1701,100,Chris ChambersMIA,WR,16,12,92,7.7,61,1,0,5.8,2,0,4,2005
1702,102,Tom BradyNE,QB,16,27,89,3.3,15,0,1,5.6,0,0,16,2005
1703,103,Reno MahePHI,RB,15,20,87,4.3,13,0,0,5.8,0,0,3,2005
1704,104,Ashley LelieDEN,WR,16,5,84,16.8,39,1,0,5.3,0,0,5,2005
1705,105,Earnest GrahamTB,RB,16,28,83,3.0,16,0,0,5.2,1,1,4,2005
1706,106,Trent GreenKC,QB,16,35,82,2.3,13,0,0,5.1,3,0,9,2005
1707,107,Mike AlstottTB,FB,16,34,80,2.4,9,0,6,5.0,0,0,12,2005
1708,107,Joey HarringtonDET,QB,12,24,80,3.3,15,0,0,6.7,1,0,3,2005
1709,107,Eli ManningNYG,QB,16,29,80,2.8,14,0,1,5.0,2,0,6,2005
1710,107,Leonard WeaverSEA,FB,16,17,80,4.7,24,1,0,5.0,0,0,3,2005
1711,111,Mack StrongSEA,FB,16,17,78,4.6,16,0,0,4.9,0,0,7,2005
1712,111,William GreenCLE,RB,8,20,78,3.9,17,0,0,9.8,0,0,4,2005
1713,113,Matt SchaubATL,QB,16,9,76,8.4,23,2,0,4.8,0,0,5,2005
1714,114,Bruce PerryPHI,RB,2,16,74,4.6,11,0,0,37.0,0,0,3,2005
1715,115,Antwaan Randle ElPIT,WR,16,12,73,6.1,43,1,0,4.6,0,0,2,2005
1716,116,Ben RoethlisbergerPIT,QB,12,31,69,2.2,13,0,3,5.8,1,0,9,2005
1717,117,Anthony WrightBAL,QB,9,18,68,3.8,22,1,0,7.6,2,0,9,2005
1718,118,Byron LeftwichJAX,QB,11,31,67,2.2,9,0,2,6.1,0,0,7,2005
1719,119,Kyle BollerBAL,QB,9,23,66,2.9,9,0,1,7.3,2,1,7,2005
1720,120,Aveion CasonSTL,RB,2,10,65,6.5,14,0,1,32.5,0,0,3,2005
1721,120,Justin GriffithATL,FB,16,15,65,4.3,19,0,0,4.1,0,0,3,2005
1722,122,Ryan FitzpatrickSTL,QB,4,14,64,4.6,14,0,2,16.0,3,1,6,2005
1723,123,Brett FavreGB,QB,16,18,62,3.4,20,1,0,3.9,2,1,4,2005
1724,123,T.J. HoushmandzadehCIN,WR,14,8,62,7.8,17,0,1,4.4,0,0,3,2005
1725,123,Ciatrick FasonMIN,RB,13,32,62,1.9,15,0,4,4.8,0,0,12,2005
1726,126,Gus FrerotteMIA,QB,16,27,61,2.3,14,0,0,3.8,3,1,6,2005
1727,127,Charlie FryeCLE,QB,7,18,60,3.3,16,0,1,8.6,2,1,6,2005
1728,128,Mike CloudNE/NYG,RB,7,24,59,2.5,15,0,0,8.4,0,0,1,2005
1729,128,B.J. AskewNYJ,FB,10,13,59,4.5,14,0,0,5.9,0,0,3,2005
1730,130,Sammy MorrisMIA,RB,16,16,58,3.6,9,0,1,3.6,0,0,3,2005
1731,131,Donovan McNabbPHI,QB,9,25,55,2.2,11,0,1,6.1,5,1,7,2005
1732,131,Eric ParkerSD,WR,15,4,55,13.8,30,1,0,3.7,0,0,3,2005
1733,133,Brad JohnsonMIN,QB,15,18,53,2.9,16,0,0,3.5,1,0,2,2005
