,RK,Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,Year*
129,29,Alex Van PeltBUF,QB,12,178,307,58.0,2056,6.7,171.3,80,12,11,14,73,,76.4,2001
130,30,Matt HasselbeckSEA,QB,13,176,321,54.8,2023,6.3,155.6,64,7,8,38,251,,70.9,2001
131,31,Rob JohnsonBUF,QB,8,134,216,62.0,1465,6.8,183.1,61,5,7,31,196,,76.3,2001
132,32,Quincy CarterDAL,QB,8,90,176,51.1,1072,6.1,134.0,64,5,7,12,56,,63.0,2001
133,33,Trent DilferSEA,QB,6,73,122,59.8,1014,8.3,169.0,54,7,4,10,72,,92.0,2001
134,34,Ty DetmerDET,QB,4,92,151,60.9,906,6.0,226.5,27,3,10,12,75,,56.9,2001
135,35,Todd BoumanMIN,QB,5,51,89,57.3,795,8.9,159.0,80,8,4,4,27,,98.3,2001
136,36,Mike VickATL,QB,8,50,113,44.2,785,6.9,98.1,52,2,3,21,113,,62.7,2001
137,37,Shane MatthewsCHI,QB,4,84,129,65.1,694,5.4,173.5,34,5,6,6,48,,72.3,2001
138,38,Mike McMahonDET,QB,8,53,115,46.1,671,5.8,83.9,69,3,1,21,122,,69.9,2001
139,39,Randall CunninghamBAL,QB,6,54,89,60.7,573,6.4,95.5,30,3,2,12,66,,81.3,2001
140,40,Anthony WrightDAL,QB,4,48,98,49.0,529,5.4,132.3,80,5,5,5,30,,61.1,2001
141,41,Neil O'DonnellTEN,QB,5,42,76,55.3,496,6.5,99.2,35,2,2,6,58,,73.1,2001
142,42,Ryan LeafDAL,QB,4,45,88,51.1,494,5.6,123.5,38,1,3,12,82,,57.7,2001
143,43,Spergon WynnMIN,QB,3,48,98,49.0,418,4.3,139.3,47,1,6,10,65,,38.6,2001
144,44,Drew BledsoeNE,QB,2,40,66,60.6,400,6.1,200.0,58,2,2,5,21,,75.3,2001
145,45,Jonathan QuinnJAX,QB,6,32,61,52.5,361,5.9,60.2,45,1,1,6,43,,69.1,2001
146,46,Clint StoernerDAL,QB,4,26,49,53.1,314,6.4,78.5,28,3,5,5,22,,53.8,2001
147,47,Gus FrerotteDEN,QB,4,30,48,62.5,308,6.4,77.0,26,3,0,3,21,,101.7,2001
148,48,Drew BreesSD,QB,1,15,27,55.6,221,8.2,221.0,40,1,0,2,12,,94.8,2001
149,49,Shaun KingTB,QB,3,21,31,67.7,210,6.8,70.0,42,0,1,3,29,,73.3,2001
150,50,Travis BrownBUF,QB,1,15,33,45.5,201,6.1,201.0,34,1,2,1,2,,50.2,2001
151,51,Jeff GeorgeWSH,QB,2,23,42,54.8,168,4.0,84.0,17,0,3,6,38,,34.6,2001
152,52,Tommy MaddoxPIT,QB,3,7,9,77.8,154,17.1,51.3,57,1,1,1,4,,116.2,2001
153,53,A.J. FeeleyPHI,QB,1,10,14,71.4,143,10.2,143.0,27,2,1,0,0,,114.0,2001
154,54,Matt LytleCAR,QB,3,17,30,56.7,133,4.4,44.3,28,1,3,3,24,,39.3,2001
155,55,Kent GrahamWSH,QB,3,13,19,68.4,131,6.9,43.7,16,2,0,2,16,,122.9,2001
156,56,Brock HuardSEA,QB,1,9,17,52.9,127,7.5,127.0,44,1,0,1,5,,96.9,2001
157,57,Kelly HolcombCLE,QB,1,7,12,58.3,114,9.5,114.0,25,1,0,0,0,,118.1,2001
158,58,Chad PenningtonNYJ,QB,2,10,20,50.0,92,4.6,46.0,24,1,0,1,8,,79.6,2001
159,59,Jarious JacksonDEN,QB,1,7,12,58.3,73,6.1,73.0,19,0,0,1,6,,76.0,2001
160,60,David PattenNE,WR,16,1,2,50.0,60,30.0,3.8,60,1,1,0,0,,95.8,2001
161,61,Mark RypienIND,QB,4,5,9,55.6,57,6.3,14.3,21,0,0,1,6,,74.8,2001
162,62,Az-Zahir HakimSTL,WR,16,1,1,100.0,51,51.0,3.2,51,1,0,0,0,,158.3,2001
163,62,Koy DetmerPHI,QB,16,5,14,35.7,51,3.6,3.2,16,0,1,1,9,,17.3,2001
164,64,Ray LucasMIA,QB,10,2,3,66.7,45,15.0,4.5,28,0,0,0,0,,109.7,2001
165,65,Chris MohrATL,P,16,2,2,100.0,40,20.0,2.5,42,0,0,0,0,,118.8,2001
166,65,Todd CollinsKC,QB,1,3,4,75.0,40,10.0,40.0,26,0,0,0,0,,106.3,2001
167,65,Tony GonzalezKC,TE,16,1,1,100.0,40,40.0,2.5,40,0,0,0,0,,118.8,2001
168,68,Ken DilgerIND,TE,16,1,1,100.0,39,39.0,2.4,39,1,0,0,0,,158.3,2001
169,69,Scott MitchellCIN,QB,1,4,12,33.3,38,3.2,38.0,16,0,3,2,15,,3.5,2001
170,70,Akili SmithCIN,QB,2,5,8,62.5,37,4.6,18.5,14,0,0,1,3,,73.4,2001
171,71,Dameyune CraigCAR,QB,2,4,8,50.0,34,4.3,17.0,18,0,0,2,15,,61.5,2001
172,71,Marty BookerCHI,WR,16,1,2,50.0,34,17.0,2.1,34,1,0,0,0,,135.4,2001
173,71,Marques TuiasosopoOAK,QB,1,3,4,75.0,34,8.5,34.0,15,0,0,0,0,,100.0,2001
174,74,Jerome BettisPIT,RB,11,1,2,50.0,32,16.0,2.9,32,1,0,0,0,,135.4,2001
175,75,Kevin LockettWSH,WR,16,1,1,100.0,31,31.0,1.9,31,1,0,0,0,,158.3,2001
176,76,Randy MossMIN,WR,16,1,1,100.0,29,29.0,1.8,29,0,0,0,0,,118.8,2001
177,77,Brad MaynardCHI,P,16,1,1,100.0,27,27.0,1.7,27,1,0,0,0,,158.3,2001
178,78,Kevin FaulkNE,RB,15,1,1,100.0,23,23.0,1.5,23,0,0,0,0,,118.8,2001
179,78,Doug JohnsonATL,QB,3,3,5,60.0,23,4.6,7.7,14,1,0,2,13,,110.8,2001
180,80,Jamie MartinSTL,QB,5,3,3,100.0,22,7.3,4.4,10,0,0,2,7,,97.2,2001
181,81,Frank WycheckTEN,TE,16,1,1,100.0,21,21.0,1.3,21,0,0,0,0,,118.8,2001
182,81,Tim RattaySF,QB,3,2,2,100.0,21,10.5,7.0,20,0,0,0,0,,110.4,2001
183,83,Curtis MartinNYJ,RB,16,1,1,100.0,18,18.0,1.1,18,1,0,0,0,,158.3,2001
184,83,Leon JohnsonCHI,RB,12,1,1,100.0,18,18.0,1.5,18,0,0,0,0,,118.8,2001
185,85,Deuce McAllisterNO,RB,16,1,2,50.0,12,6.0,0.8,12,1,0,0,0,,108.3,2001
186,86,Tom TupaNYJ,P,15,1,1,100.0,9,9.0,0.6,9,0,0,0,0,,104.2,2001
187,87,Mark RoyalsTB,P,16,1,1,100.0,5,5.0,0.3,5,0,0,0,0,,87.5,2001
188,88,Jeff FeaglesSEA,P,16,0,2,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
189,88,Eric MetcalfWSH,WR,10,0,0,0.0,0,0.0,0.0,0,0,0,1,2,,0.0,2001
190,88,Jeff BlakeNO,QB,1,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
191,88,Craig HentrichTEN,P,16,0,2,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2001
192,88,Marshall FaulkSTL,RB,14,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
193,88,Lamont WarrenDET,RB,16,0,2,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2001
194,88,Mitch BergerMIN,P,12,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
195,88,Frank SandersARI,WR,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
196,88,Richard HuntleyCAR,RB,14,0,1,0.0,0,0.0,0.0,0,0,0,1,0,,39.6,2001
197,88,Joe HornNO,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
198,88,Corey DillonCIN,RB,16,0,1,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2001
199,88,Hines WardPIT,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,1,3,,39.6,2001
200,88,Martin GramaticaTB,PK,14,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
201,88,Mike GreenTEN,RB,16,0,2,0.0,0,0.0,0.0,0,0,2,0,0,,0.0,2001
202,88,Micah KnorrDAL,P,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
203,88,Billy VolekTEN,QB,1,0,3,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
204,88,Freddie MitchellPHI,WR,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
205,88,LaMont JordanNYJ,RB,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
206,88,Brian MoormanBUF,P,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2001
207,107,Joey GallowayDAL,WR,16,1,1,100.0,-1,-1.0,-0.1,-1,0,0,0,0,,79.2,2001
208,108,Kyle RichardsonBAL,P,16,1,1,100.0,-11,-11.0,-0.7,-11,0,0,0,0,,79.2,2001
209,1,Rich GannonOAK,QB,16,418,618,67.6,4689,7.6,293.1,75,26,10,36,214,,97.3,2002
210,2,Drew BledsoeBUF,QB,16,375,610,61.5,4359,7.1,272.4,73,24,15,54,369,,86.0,2002
211,3,Peyton ManningIND,QB,16,392,591,66.3,4200,7.1,262.5,69,27,19,23,145,,88.8,2002
212,4,Kerry CollinsNYG,QB,16,335,545,61.5,4073,7.5,254.6,82,19,14,24,152,,85.4,2002
213,5,Daunte CulpepperMIN,QB,16,333,549,60.7,3853,7.0,240.8,61,18,23,47,244,,75.3,2002
214,6,Tom BradyNE,QB,16,373,601,62.1,3764,6.3,235.3,49,28,14,31,190,,85.7,2002
215,7,Trent GreenKC,QB,16,287,470,61.1,3690,7.9,230.6,99,26,13,26,141,,92.6,2002
216,8,Brett FavreGB,QB,16,341,551,61.9,3658,6.6,228.6,85,27,16,26,188,,85.6,2002
217,9,Aaron BrooksNO,QB,16,283,528,53.6,3572,6.8,223.3,64,27,15,36,236,,80.1,2002
218,10,Steve McNairTEN,QB,16,301,492,61.2,3387,6.9,211.7,55,22,15,21,121,,84.0,2002
219,11,Jeff GarciaSF,QB,16,328,528,62.1,3344,6.3,209.0,76,21,10,17,93,,85.6,2002
220,12,Drew BreesSD,QB,16,320,526,60.8,3284,6.2,205.3,52,17,16,24,180,,76.9,2002
221,13,Brian GrieseDEN,QB,13,291,436,66.7,3214,7.4,247.2,82,15,15,34,237,,85.6,2002
222,14,Jon KitnaCIN,QB,14,294,473,62.2,3178,6.7,227.0,72,16,16,24,159,,79.1,2002
223,15,Chad PenningtonNYJ,QB,15,275,399,68.9,3120,7.8,208.0,47,22,6,22,135,,104.2,2002
224,16,Matt HasselbeckSEA,QB,16,267,419,63.7,3075,7.3,192.2,49,15,10,26,143,,87.8,2002
225,17,Brad JohnsonTB,QB,13,281,451,62.3,3049,6.8,234.5,76,22,6,21,121,,92.9,2002
226,18,Jake PlummerARI,QB,16,284,530,53.6,2972,5.6,185.8,80,18,20,36,248,,65.7,2002
227,19,Mike VickATL,QB,15,231,421,54.9,2936,7.0,195.7,74,16,8,33,206,,81.6,2002
228,20,Tim CouchCLE,QB,14,273,443,61.6,2842,6.4,203.0,78,18,18,30,213,,76.8,2002
229,21,Tommy MaddoxPIT,QB,15,234,377,62.1,2836,7.5,189.1,72,20,16,26,148,,85.2,2002
230,22,Mark BrunellJAX,QB,15,245,416,58.9,2788,6.7,185.9,79,17,7,34,210,,85.7,2002
231,23,Rodney PeeteCAR,QB,14,223,381,58.5,2630,6.9,187.9,69,15,14,31,192,,77.4,2002
232,24,David CarrHOU,QB,16,233,444,52.5,2592,5.8,162.0,81,9,15,76,411,,62.8,2002
233,25,Joey HarringtonDET,QB,14,215,429,50.1,2294,5.3,163.9,64,12,16,8,75,,59.9,2002
234,26,Donovan McNabbPHI,QB,10,211,361,58.4,2289,6.3,228.9,59,17,6,28,166,,86.0,2002
235,27,Jeff BlakeBAL,QB,11,165,295,55.9,2084,7.1,189.5,77,13,11,30,203,,77.3,2002
236,28,Jay FiedlerMIA,QB,11,179,292,61.3,2024,6.9,184.0,59,14,9,13,89,,85.2,2002
237,29,Jim MillerCHI,QB,10,180,314,57.3,1944,6.2,194.4,54,13,9,16,101,,77.5,2002
238,30,Marc BulgerSTL,QB,7,138,214,64.5,1826,8.5,260.9,58,14,6,12,102,,101.5,2002
239,31,Chad HutchinsonDAL,QB,9,127,250,50.8,1555,6.2,172.8,58,7,8,34,265,,66.3,2002
240,32,Patrick RamseyWSH,QB,9,117,227,51.5,1539,6.8,171.0,62,9,8,18,132,,71.8,2002
241,33,Quincy CarterDAL,QB,7,125,221,56.6,1465,6.6,209.3,80,7,8,19,130,,72.3,2002
242,34,Kurt WarnerSTL,QB,7,144,220,65.5,1431,6.5,204.4,43,3,11,21,130,,67.4,2002
243,35,Shane MatthewsWSH,QB,8,124,237,52.3,1251,5.3,156.4,43,11,6,9,54,,72.6,2002
244,36,Jamie MartinSTL,QB,5,124,195,63.6,1216,6.2,243.2,33,7,10,10,77,,71.7,2002
245,37,Trent DilferSEA,QB,6,94,168,56.0,1182,7.0,197.0,83,4,6,7,36,,71.1,2002
246,38,Kordell StewartPIT,QB,7,109,166,65.7,1155,7.0,165.0,64,6,6,7,46,,82.8,2002
247,39,Ray LucasMIA,QB,7,92,160,57.5,1045,6.5,149.3,77,4,6,12,90,,69.9,2002
248,40,Chris RedmanBAL,QB,6,97,182,53.3,1034,5.7,172.3,36,7,3,11,68,,76.1,2002
249,41,Chris ChandlerCHI,QB,9,103,161,64.0,1023,6.4,113.7,76,4,4,23,144,,79.8,2002
250,42,A.J. FeeleyPHI,QB,6,86,154,55.8,1011,6.6,168.5,53,6,5,7,48,,75.4,2002
251,43,Steve BeuerleinDEN,QB,8,68,117,58.1,925,7.9,115.6,52,6,5,12,78,,82.7,2002
252,44,Mike McMahonDET,QB,8,62,147,42.2,874,5.9,109.3,49,7,9,12,99,,52.4,2002
253,45,Kelly HolcombCLE,QB,4,64,106,60.4,790,7.5,197.5,44,8,4,5,40,,92.9,2002
254,46,Danny WuerffelWSH,QB,7,58,92,63.0,719,7.8,102.7,40,3,6,11,83,,70.9,2002
255,47,Rob JohnsonTB,QB,6,57,88,64.8,536,6.1,89.3,23,1,2,19,94,,75.8,2002
256,48,Vinny TestaverdeNYJ,QB,5,54,83,65.1,499,6.0,99.8,35,3,3,9,62,,78.3,2002
257,49,Doug JohnsonATL,QB,6,37,57,64.9,448,7.9,74.7,63,2,3,3,11,,78.7,2002
258,50,Gus FrerotteCIN,QB,4,44,85,51.8,437,5.1,109.3,51,1,5,10,74,,46.1,2002
259,51,Tim RattaySF,QB,4,26,43,60.5,232,5.4,58.0,27,2,0,5,26,,90.5,2002
260,52,David GarrardJAX,QB,4,23,46,50.0,231,5.0,57.8,22,1,2,7,40,,53.8,2002
261,53,Koy DetmerPHI,QB,14,19,28,67.9,224,8.0,16.0,37,2,0,1,8,,115.8,2002
262,54,Henry BurrisCHI,QB,6,18,51,35.3,207,4.1,34.5,45,3,5,4,20,,28.4,2002
263,55,Chris WeinkeCAR,QB,6,17,38,44.7,180,4.7,30.0,24,0,3,6,35,,26.2,2002
264,56,Randy FasaniCAR,QB,4,15,44,34.1,171,3.9,42.8,27,0,4,7,60,,8.8,2002
265,57,Doug PedersonGB,QB,16,19,28,67.9,134,4.8,8.4,20,1,0,1,8,,90.5,2002
266,58,Akili SmithCIN,QB,1,12,33,36.4,117,3.5,117.0,24,0,1,3,23,,34.5,2002
267,59,Jake DelhommeNO,QB,4,8,10,80.0,113,11.3,28.3,54,0,0,0,0,,113.7,2002
268,60,Todd BoumanMIN,QB,1,3,6,50.0,85,14.2,85.0,48,0,0,2,22,,95.8,2002
269,61,Shaun KingTB,QB,3,10,27,37.0,80,3.0,26.7,20,0,1,1,5,,30.0,2002
270,62,Todd CollinsKC,QB,3,5,6,83.3,73,12.2,24.3,29,1,0,0,0,,156.9,2002
271,63,Josh McCownARI,QB,2,7,18,38.9,66,3.7,33.0,26,0,2,5,50,,10.2,2002
272,64,Doug FlutieSD,QB,1,3,11,27.3,64,5.8,64.0,47,0,0,0,0,,51.3,2002
273,65,Cory SauterIND/CHI,QB,1,6,9,66.7,59,6.6,59.0,31,0,0,0,0,,85.0,2002
274,66,Brian MitchellPHI,RB,16,1,1,100.0,57,57.0,3.6,57,1,0,0,0,,158.3,2002
275,67,Antwaan Randle ElPIT,WR,16,7,8,87.5,45,5.6,2.8,25,0,0,1,10,,90.1,2002
276,68,Marty BookerCHI,WR,16,1,5,20.0,44,8.8,2.8,44,1,0,0,0,,103.3,2002
277,69,Jabar GaffneyHOU,WR,16,1,1,100.0,39,39.0,2.4,39,1,0,0,0,,158.3,2002
278,70,Kevin JohnsonCLE,WR,16,1,2,50.0,33,16.5,2.1,33,1,0,0,0,,135.4,2002
279,71,Bubba FranksGB,TE,16,1,1,100.0,31,31.0,1.9,31,1,0,0,0,,158.3,2002
280,72,Jesse PalmerNYG,QB,2,3,4,75.0,30,7.5,15.0,14,0,0,0,0,,95.8,2002
281,73,Leon JohnsonCHI,RB,16,1,1,100.0,27,27.0,1.7,27,0,0,1,0,,118.8,2002
282,74,Brian WestbrookPHI,RB,15,1,1,100.0,25,25.0,1.7,25,1,0,0,0,,158.3,2002
283,75,Neil O'DonnellTEN,QB,4,3,5,60.0,24,4.8,6.0,15,0,0,0,0,,72.1,2002
284,76,Reche CaldwellSD,WR,16,1,1,100.0,20,20.0,1.3,20,0,0,0,0,,118.8,2002
285,77,Craig HentrichTEN,P,16,1,1,100.0,17,17.0,1.1,17,0,0,0,0,,118.8,2002
286,78,Kevin LockettWSH/JAX,WR,13,1,1,100.0,14,14.0,1.1,14,1,0,0,0,,158.3,2002
287,79,Frank WycheckTEN,TE,15,1,2,50.0,13,6.5,0.9,13,0,0,0,0,,70.8,2002
288,79,Randy MossMIN,WR,16,1,3,33.3,13,4.3,0.8,13,1,0,0,0,,87.5,2002
289,81,Brad MaynardCHI,P,16,1,1,100.0,12,12.0,0.8,12,1,0,0,0,,156.3,2002
290,82,Scott CovingtonSTL,QB,1,2,5,40.0,7,1.4,7.0,4,0,0,2,16,,47.9,2002
291,83,Alex Van PeltBUF,QB,2,2,2,100.0,5,2.5,2.5,4,0,0,0,0,,79.2,2002
292,83,James AllenHOU,RB,16,1,2,50.0,5,2.5,0.3,5,1,0,0,0,,95.8,2002
293,85,Rohan DaveyNE,QB,2,1,2,50.0,3,1.5,1.5,3,0,0,0,0,,56.3,2002
294,86,Tom TupaTB,P,16,0,1,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2002
295,86,Ricky ProehlSTL,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,1,1,,39.6,2002
296,86,Chris MohrATL,P,16,0,1,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2002
297,86,Terry KirbyOAK,RB,6,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
298,86,Richie AndersonNYJ,FB,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
299,86,Dorsey LevensPHI,RB,16,0,2,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
300,86,James StewartDET,RB,14,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
301,86,Curtis MartinNYJ,RB,16,0,0,0.0,0,0.0,0.0,0,0,0,1,4,,0.0,2002
302,86,Wayne ChrebetNYJ,WR,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
303,86,Matt TurkNYJ,P,16,0,1,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2002
304,86,Rod SmithDEN,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
305,86,Chris DoeringWSH,WR,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
306,86,Priest HolmesKC,RB,14,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
307,86,David PattenNE,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
308,86,Pat JohnsonJAX,WR,9,0,0,0.0,0,0.0,0.0,0,0,0,1,7,,0.0,2002
309,86,Kevin FaulkNE,RB,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
310,86,Brian UrlacherCHI,LB,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
311,86,Michael WileyDAL,RB,16,0,0,0.0,0,0.0,0.0,0,0,0,1,4,,0.0,2002
312,86,Rod GardnerWSH,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
313,86,Deuce McAllisterNO,RB,15,0,0,0.0,0,0.0,0.0,0,0,0,1,8,,0.0,2002
314,86,Freddie MitchellPHI,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
315,86,Todd HeapBAL,TE,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
316,86,Sage RosenfelsMIA,QB,4,0,3,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
317,86,Dee BrownCAR,RB,14,0,1,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2002
318,86,Dave ZastudilBAL,P,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
319,86,Frisman JacksonCLE,WR,7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2002
320,1,Peyton ManningIND,QB,16,379,566,67.0,4267,7.5,266.7,79,29,10,18,107,,99.0,2003
321,2,Trent GreenKC,QB,16,330,523,63.1,4039,7.7,252.4,67,24,12,20,130,,92.6,2003
322,3,Marc BulgerSTL,QB,15,336,532,63.2,3845,7.2,256.3,48,22,22,37,288,,81.4,2003
323,4,Matt HasselbeckSEA,QB,16,313,513,61.0,3841,7.5,240.1,80,26,15,42,246,,88.8,2003
324,5,Brad JohnsonTB,QB,16,354,570,62.1,3811,6.7,238.2,76,26,21,20,111,,81.5,2003
325,6,Tom BradyNE,QB,16,317,527,60.2,3620,6.9,226.3,82,23,12,32,219,,85.9,2003
326,7,Jon KitnaCIN,QB,16,324,520,62.3,3591,6.9,224.4,82,26,15,37,249,,87.4,2003
327,8,Aaron BrooksNO,QB,16,306,518,59.1,3546,6.8,221.6,76,24,8,34,195,,88.8,2003
328,9,Daunte CulpepperMIN,QB,14,295,454,65.0,3479,7.7,248.5,59,25,11,37,196,,96.4,2003
329,10,Tommy MaddoxPIT,QB,16,298,519,57.4,3414,6.6,213.4,53,18,17,41,242,,75.3,2003
330,11,Brett FavreGB,QB,16,308,471,65.4,3361,7.1,210.1,66,32,21,19,137,,90.4,2003
331,12,Quincy CarterDAL,QB,16,292,505,57.8,3302,6.5,206.4,64,17,21,37,185,,71.4,2003
332,13,Jake DelhommeCAR,QB,16,266,449,59.2,3219,7.2,201.2,67,19,16,23,168,,80.6,2003
333,14,Donovan McNabbPHI,QB,16,275,478,57.5,3216,6.7,201.0,59,16,11,43,253,,79.6,2003
334,15,Steve McNairTEN,QB,14,250,400,62.5,3215,8.0,229.6,73,24,7,19,108,,100.4,2003
335,16,Kerry CollinsNYG,QB,13,284,500,56.8,3110,6.2,239.2,77,13,16,28,164,,70.7,2003
336,17,Joey HarringtonDET,QB,16,309,554,55.8,2880,5.2,180.0,72,17,22,9,55,,63.9,2003
337,18,Drew BledsoeBUF,QB,16,274,471,58.2,2860,6.1,178.8,54,11,12,49,371,,73.0,2003
338,19,Byron LeftwichJAX,QB,15,239,418,57.2,2819,6.7,187.9,84,14,16,19,90,,73.0,2003
339,20,Jeff GarciaSF,QB,13,225,392,57.4,2704,6.9,208.0,75,18,13,21,104,,80.1,2003
340,21,Jeff BlakeARI,QB,13,208,367,56.7,2247,6.1,172.8,71,13,15,19,132,,69.6,2003
341,22,Jake PlummerDEN,QB,11,189,302,62.6,2182,7.2,198.4,60,15,7,14,73,,91.2,2003
342,23,Patrick RamseyWSH,QB,11,179,337,53.1,2166,6.4,196.9,64,14,9,30,206,,75.8,2003
343,24,Chad PenningtonNYJ,QB,10,189,297,63.6,2139,7.2,213.9,65,13,12,25,160,,82.9,2003
344,25,Jay FiedlerMIA,QB,12,179,314,57.0,2138,6.8,178.2,59,11,13,19,126,,72.4,2003
345,26,Drew BreesSD,QB,11,205,356,57.6,2108,5.9,191.6,68,11,15,21,178,,67.5,2003
346,27,David CarrHOU,QB,12,167,295,56.6,2013,6.8,167.8,78,9,13,15,90,,69.5,2003
347,28,Kelly HolcombCLE,QB,10,193,302,63.9,1797,5.9,179.7,68,10,12,21,166,,74.6,2003
348,29,Doug JohnsonATL,QB,10,136,243,56.0,1655,6.8,165.5,86,8,12,19,121,,67.5,2003
349,30,Kordell StewartCHI,QB,9,126,251,50.2,1418,5.6,157.6,61,7,12,25,146,,56.8,2003
350,31,Vinny TestaverdeNYJ,QB,7,123,198,62.1,1385,7.0,197.9,61,7,2,6,48,,90.6,2003
351,32,Tim CouchCLE,QB,10,120,203,59.1,1319,6.5,131.9,71,7,6,19,116,,77.6,2003
352,33,Rich GannonOAK,QB,7,125,225,55.6,1274,5.7,182.0,46,6,4,17,90,,73.5,2003
353,34,Rick MirerOAK,QB,9,116,221,52.5,1267,5.7,140.8,47,3,5,22,122,,64.8,2003
354,35,Kyle BollerBAL,QB,11,116,224,51.8,1260,5.6,114.5,73,7,9,17,92,,62.4,2003
355,36,Anthony WrightBAL,QB,7,94,178,52.8,1199,6.7,171.3,64,9,8,19,125,,72.3,2003
356,37,Doug FlutieSD,QB,7,91,167,54.5,1097,6.6,156.7,73,9,4,8,27,,82.8,2003
357,38,Chris ChandlerCHI,QB,8,107,192,55.7,1050,5.5,131.3,37,3,7,14,101,,61.3,2003
358,39,Josh McCownARI,QB,8,95,166,57.2,1018,6.1,127.3,60,5,6,25,174,,70.3,2003
359,40,Tim HasselbeckWSH,QB,7,95,177,53.7,1012,5.7,144.6,40,5,7,9,44,,63.6,2003
360,41,Tim RattaySF,QB,11,73,118,61.9,856,7.3,77.8,61,7,2,7,54,,96.6,2003
361,42,Brian GrieseMIA,QB,5,74,130,56.9,813,6.3,162.6,80,5,6,12,83,,69.2,2003
362,43,Tony BanksHOU,QB,7,61,102,59.8,693,6.8,99.0,46,5,3,13,57,,84.3,2003
363,44,Gus FrerotteMIN,QB,16,38,65,58.5,690,10.6,43.1,72,7,2,5,22,,118.1,2003
364,45,Mike VickATL,QB,5,50,100,50.0,585,5.8,117.0,49,4,3,9,64,,69.0,2003
365,46,Billy VolekTEN,QB,7,44,69,63.8,545,7.9,77.9,50,4,1,6,45,,101.4,2003
366,47,Jesse PalmerNYG,QB,6,60,116,51.7,532,4.6,88.7,40,3,4,16,95,,58.5,2003
367,48,Mark BrunellJAX,QB,3,54,82,65.9,484,5.9,161.3,65,2,0,9,46,,89.7,2003
368,49,Danny KanellDEN,QB,5,53,103,51.5,442,4.3,88.4,26,2,5,2,24,,49.1,2003
369,50,Rex GrossmanCHI,QB,3,38,72,52.8,437,6.1,145.7,59,2,1,4,41,,74.8,2003
370,51,Kurt KittnerATL,QB,7,44,114,38.6,391,3.4,55.9,31,2,6,5,30,,32.5,2003
371,52,Steve BeuerleinDEN,QB,4,33,63,52.4,389,6.2,97.3,38,2,5,9,60,,49.0,2003
372,53,Kurt WarnerSTL,QB,2,38,65,58.5,365,5.6,182.5,37,1,1,6,38,,72.9,2003
373,54,Marques TuiasosopoOAK,QB,4,25,45,55.6,324,7.2,81.0,35,0,3,2,14,,50.6,2003
374,55,Neil O'DonnellTEN,QB,1,18,27,66.7,232,8.6,232.0,34,2,1,0,0,,102.7,2003
375,56,Travis BrownBUF,QB,2,14,18,77.8,160,8.9,80.0,28,0,1,1,7,,80.6,2003
