,RK,Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,Year*
2037,91,Dustin ColquittKC,P,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0.0,39.6,2019
2038,91,Randall CobbDAL,WR,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,5.4,39.6,2019
2039,91,Bilal PowellNYJ,RB,13,0,1,0.0,0,0.0,0.0,0,0,0,0,0,1.9,39.6,2019
2040,91,Josh GordonSEA/NE,WR,11,0,1,0.0,0,0.0,0.0,0,0,1,0,0,0.0,0.0,2019
2041,91,Garrett GilbertCLE,QB,5,0,3,0.0,0,0.0,0.0,0,0,0,0,0,22.8,39.6,2019
2042,91,David FalesNYJ,QB,2,0,0,0.0,0,0.0,0.0,0,0,0,1,7,3.8,0.0,2019
2043,91,Stefon DiggsMIN,WR,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0.2,39.6,2019
2044,91,Cooper KuppLAR,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0.0,39.6,2019
2045,91,Zach PascalIND,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0.8,39.6,2019
2046,91,Colby WadmanDEN,P,16,0,0,0.0,0,0.0,0.0,0,0,0,1,7,,0.0,2019
2047,91,Jake ElliottPHI,PK,16,0,1,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2019
2048,91,Kareem HuntCLE,RB,8,0,0,0.0,0,0.0,0.0,0,0,0,1,8,0.0,0.0,2019
2049,91,Christian McCaffreyCAR,RB,16,0,2,0.0,0,0.0,0.0,0,0,0,0,0,0.2,39.6,2019
2050,91,Preston WilliamsMIA,WR,8,0,0,0.0,0,0.0,0.0,0,0,0,1,1,0.7,0.0,2019
2051,91,Steven SimsWSH,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2019
2052,106,Sam KochBAL,P,16,1,1,100.0,-2,-2.0,-0.1,-2,0,0,0,0,100.0,79.2,2019
